"","id","country","publication_date","source","source_type","headline","headline_mt","m_fr_eco","m_fr_lab","m_fr_wel","m_fr_sec"
"297",297,"UK","2016-05-31","The Guardian","Print","Leave campaign set to argue that staying in EU jeopardises Britain's security;
Justice minister will give a speech arguing that free movement harms the UK's
security","Leave campaign set to argue that staying in EU jeopardises Britain's security;
Justice minister will give a speech arguing that free movement harms the UK's
security",0,1,0,1
"301",301,"UK","2004-04-03","Daily Mirror","Print","TB BUG ALERT;
 FEARS ILLEGAL IMMIGRANT HAS SPREAD KILLER DISEASE","TB BUG ALERT;
 FEARS ILLEGAL IMMIGRANT HAS SPREAD KILLER DISEASE",0,0,1,1
"303",303,"UK","2017-08-11","Daily Mirror","Print","Migrants' boat comes ashore on hols beach;
Sunbathers look on as men flee","Migrants' boat comes ashore on hols beach;
Sunbathers look on as men flee",0,0,0,1
"304",304,"UK","2014-11-23","Daily Mirror","Print","Are we being swamped?;
British people believe almost a quarter of the population are immigrants - yet
the figure is just over half that, 13 per cent. WE SEPARATE THE FACTS FROM
SCAREMONGERING FICTION ON IMMIGRATION","Are we being swamped?;
British people believe almost a quarter of the population are immigrants - yet
the figure is just over half that, 13 per cent. WE SEPARATE THE FACTS FROM
SCAREMONGERING FICTION ON IMMIGRATION",1,1,1,0
"305",305,"UK","2016-11-09","mirror.co.uk","Online","Trump win sparks riots across US as crowds burn American flag and chant 'Not our
president';
Clinton supporters were filmed setting fire to the US flag while marching
through the streets of Portland, Oregon, shouting F*** Donald Trump","Trump win sparks riots across US as crowds burn American flag and chant 'Not our
president';
Clinton supporters were filmed setting fire to the US flag while marching
through the streets of Portland, Oregon, shouting F*** Donald Trump",0,0,0,0
"308",308,"UK","2016-05-27","Metro","Print","Migrants arriving from Europe hit a high of 184,000","Migrants arriving from Europe hit a high of 184,000",0,0,1,1
"313",313,"UK","2015-11-04","The Guardian","Print","Catholic church leader condemns 'slow' response to refugee crisis;
Cardinal Vincent Nichols says public's generosity has far outstripped
government's response to plight of refugees","Catholic church leader condemns 'slow' response to refugee crisis;
Cardinal Vincent Nichols says public's generosity has far outstripped
government's response to plight of refugees",1,0,0,0
"316",316,"UK","2013-04-19","telegraph.co.uk","Online","Egypt's remaining Jews gather to bury one of their own;
A handful of Egypt's dwindling Jewish population, mostly elderly women, gathered
at a restored synagogue in Cairo on Thursday for the funeral of the community's
elected leader.","Egypt's remaining Jews gather to bury one of their own;
A handful of Egypt's dwindling Jewish population, mostly elderly women, gathered
at a restored synagogue in Cairo on Thursday for the funeral of the community's
elected leader.",0,1,1,0
"321",321,"UK","2008-07-01","Daily Mirror","Print","35,000-STRONG COP FORCE TO GUARD OUR BORDERS;
EXCLUSIVE CALL TO STRENGTHEN ANTI-TERROR LAWS","35,000-STRONG COP FORCE TO GUARD OUR BORDERS;
EXCLUSIVE CALL TO STRENGTHEN ANTI-TERROR LAWS",0,0,0,1
"323",323,"UK","2017-06-21","Metro","Print","JOELY SEES HOPE AMID GIANT REFUGEE CRISIS","JOELY SEES HOPE AMID GIANT REFUGEE CRISIS",0,0,0,0
"324",324,"UK","2016-06-17","mirror.co.uk","Online","In Jo's name, put dignity and caring in the place of hate;
Ros Wynne Jones says we must remember Jo Cox as she was and start looking for
answers, even ones that cause discomfort","In Jo's name, put dignity and caring in the place of hate;
Ros Wynne Jones says we must remember Jo Cox as she was and start looking for
answers, even ones that cause discomfort",0,0,0,0
"326",326,"UK","2014-12-15","The Guardian","Print","Labour plans jail terms for exploitation of migrant workers;
Ed Miliband commits to introducing law to tackle both migrants' poor working
conditions and undercutting of locals' wages","Labour plans jail terms for exploitation of migrant workers;
Ed Miliband commits to introducing law to tackle both migrants' poor working
conditions and undercutting of locals' wages",1,1,0,1
"327",327,"UK","2014-11-24","telegraph.co.uk","Online","Coalition abandons target to reduce migration;
The Government will fail to slash the overall number of migrants as planned
because Britain's strong economic performance continues to lure European
workers, says Theresa May","Coalition abandons target to reduce migration;
The Government will fail to slash the overall number of migrants as planned
because Britain's strong economic performance continues to lure European
workers, says Theresa May",1,1,1,1
"331",331,"UK","2017-07-13","telegraph.co.uk","Online","Far-Right group sends ship to Mediterranean to confront 'criminal' rescue
vessels and block migrants","Far-Right group sends ship to Mediterranean to confront 'criminal' rescue
vessels and block migrants",0,0,0,1
"338",338,"UK","2015-08-04","telegraph.co.uk","Online","More than 2,000 migrant deaths in Mediterranean in 2015, says monitoring group;","More than 2,000 migrant deaths in Mediterranean in 2015, says monitoring group;",0,0,0,1
"342",342,"UK","2001-09-05","The Daily Telegraph","Print","Blunkett pledges tougher asylum curbs","Blunkett pledges tougher asylum curbs",0,1,1,1
"343",343,"UK","2017-06-04","The Guardian","Print","I'm glad a gay man of colour will be Irish prime minister, even if I abhor his
politics;
Yes, there are reasons to celebrate Leo Varadkar becoming leader of Fine Gael.
But he is an austerity-championing neoliberal who is against reproductive rights","I'm glad a gay man of colour will be Irish prime minister, even if I abhor his
politics;
Yes, there are reasons to celebrate Leo Varadkar becoming leader of Fine Gael.
But he is an austerity-championing neoliberal who is against reproductive rights",1,1,0,0
"345",345,"UK","2017-06-26","The Guardian","Print","Theresa May's attacks on human rights laws are gifts for despots - UN;
Zeid Ra'ad al-Hussein criticises British culture of denigrating 'bodies of
international law that are now endangered'","Theresa May's attacks on human rights laws are gifts for despots - UN;
Zeid Ra'ad al-Hussein criticises British culture of denigrating 'bodies of
international law that are now endangered'",0,0,0,1
"347",347,"UK","2017-03-10","The Daily Telegraph","Print","The honeymoon is over for the 'old married couple' of Downing Street;
Special relationship","The honeymoon is over for the 'old married couple' of Downing Street;
Special relationship",1,1,0,0
"364",364,"UK","2015-08-17","The Guardian","Print","The yacht and the dinghy in the Aegean: a perfect allegory for the migrant
crisis;
Iranian migrants paddle a tiny dinghy from Turkey to the Greek island Kos, while
a vast yacht passes by in a powerful photo that speaks volumes about the
situation","The yacht and the dinghy in the Aegean: a perfect allegory for the migrant
crisis;
Iranian migrants paddle a tiny dinghy from Turkey to the Greek island Kos, while
a vast yacht passes by in a powerful photo that speaks volumes about the
situation",1,0,0,0
"365",365,"UK","2015-11-19","mirror.co.uk","Online","Inside Jihadi John's birthplace in Kuwait: The grim town that bred a monster;
David Collins visits the tough district of Kuwait City where the Islamic State
thug who revelled in the cold-bloodied decapitation of Western hostages spent
the first six years of his life","Inside Jihadi John's birthplace in Kuwait: The grim town that bred a monster;
David Collins visits the tough district of Kuwait City where the Islamic State
thug who revelled in the cold-bloodied decapitation of Western hostages spent
the first six years of his life",0,1,1,1
"366",366,"UK","2007-04-19","The Daily Telegraph","Print","Sarkozys' marriage in trouble again, hints Le Pen","Sarkozys' marriage in trouble again, hints Le Pen",0,1,0,0
"369",369,"UK","2017-02-02","mirror.co.uk","Online","Donald Trump 'yelled at Australian PM during worst ever phone call about
refugee swap deal - then HUNG UP';
Malcolm Turnbull denied the President slammed the phone down saying the
conversation ended cordially - and he insisted the US will honour Obama's
refugee deal","Donald Trump 'yelled at Australian PM during worst ever phone call about
refugee swap deal - then HUNG UP';
Malcolm Turnbull denied the President slammed the phone down saying the
conversation ended cordially - and he insisted the US will honour Obama's
refugee deal",0,0,0,1
"371",371,"UK","2002-12-28","The Guardian","Print","Britain 'takes more refugees than is fair': UN high commissioner says UK bears
heavy burden but figures show it is in middle of European table for asylum
applications","Britain 'takes more refugees than is fair': UN high commissioner says UK bears
heavy burden but figures show it is in middle of European table for asylum
applications",0,0,0,1
"372",372,"UK","2013-02-06","Daily Mirror","Print","OAP, 81, LEFT TO STARVE;
Nine days without help after border police shut care firm","OAP, 81, LEFT TO STARVE;
Nine days without help after border police shut care firm",0,1,1,1
"373",373,"UK","2014-12-04","telegraph.co.uk","Online","If it needs a London conference, Afghanistan must be in trouble;
Precedence suggests a push for a conference is a sure fire sign the Great
Powers have run out of other ideas to help the country, writes Richard Spencer","If it needs a London conference, Afghanistan must be in trouble;
Precedence suggests a push for a conference is a sure fire sign the Great
Powers have run out of other ideas to help the country, writes Richard Spencer",0,0,0,0
"375",375,"UK","2006-05-24","The Guardian","Print","Dublin urged to translate road safety message","Dublin urged to translate road safety message",0,1,0,1
"381",381,"UK","2015-10-12","The Daily Telegraph","Print","Hate Tories? Angry at immigrants? The problem is you, not them;
The rallying cry of 'Tory scum', like other senseless hatreds, is a mask for
Labour's own inadequacies","Hate Tories? Angry at immigrants? The problem is you, not them;
The rallying cry of 'Tory scum', like other senseless hatreds, is a mask for
Labour's own inadequacies",1,1,1,0
"394",394,"UK","2005-01-02","Daily Mirror","Print","US BID IS REFUSED","US BID IS REFUSED",0,0,0,1
"399",399,"UK","2015-04-21","Daily Mirror","Print","Plea to restart search & rescue ops","Plea to restart search & rescue ops",0,0,0,0
"401",401,"UK","2013-02-05","The Guardian","Print","G2: Women: A certain age","G2: Women: A certain age",0,1,1,0
"411",411,"UK","2006-10-29","Daily Mirror","Print","PROPER BURIAL FOR FAMINE MIGRANTS","PROPER BURIAL FOR FAMINE MIGRANTS",0,0,0,0
"412",412,"UK","2016-06-20","telegraph.co.uk","Online","EU referendum: Jeremy Corbyn quizzed in live TV debate","EU referendum: Jeremy Corbyn quizzed in live TV debate",0,0,0,0
"413",413,"UK","2011-04-14","telegraph.co.uk","Online","Both sides in the immigration debate are as bad as each other - we need a Third
Way","Both sides in the immigration debate are as bad as each other - we need a Third
Way",0,0,0,0
"414",414,"UK","2015-08-24","telegraph.co.uk","Online","France train attack: Belgium calls for review of Schengen visa-free travel zone;","France train attack: Belgium calls for review of Schengen visa-free travel zone;",1,0,1,1
"417",417,"UK","2016-03-16","The Daily Telegraph","Print","Living wage 'will draw more migrants to UK';
Europe 2016 ; Minimum pay for young workers to rise, bringing fears of higher
shop prices, and influx from the EU","Living wage 'will draw more migrants to UK';
Europe 2016 ; Minimum pay for young workers to rise, bringing fears of higher
shop prices, and influx from the EU",1,1,1,0
"419",419,"UK","2005-08-24","The Guardian","Print","Applications for asylum fall","Applications for asylum fall",0,0,0,0
"422",422,"UK","2017-01-31","telegraph.co.uk","Online","How sacked attorney general Sally Yates responded to Jeff Sessions when asked if
she would defy Donald Trump","How sacked attorney general Sally Yates responded to Jeff Sessions when asked if
she would defy Donald Trump",0,0,0,0
"423",423,"UK","2016-08-10","mirror.co.uk","Online","Edinburgh Fringe 2016: Top comedians Axis of Awesome, Mike Ward, Patrick
Monahan, Nath Valvo and Scott Gibson;
With the Edinburgh Fringe underway for the whole of August, Gilded Balloon is
among the venues boasting a huge line-up of top talent","Edinburgh Fringe 2016: Top comedians Axis of Awesome, Mike Ward, Patrick
Monahan, Nath Valvo and Scott Gibson;
With the Edinburgh Fringe underway for the whole of August, Gilded Balloon is
among the venues boasting a huge line-up of top talent",0,1,0,0
"428",428,"UK","2015-11-09","Daily Mirror","Print","UKIP going bust would be [...]","UKIP going bust would be [...]",0,1,0,0
"430",430,"UK","2015-10-21","The Guardian","Print","Right to rent scheme to be extended nationwide from February;
During six-month pilot in West Midlands, 109 people who were in Britain
illegally were identified as a result of compulsory checks on new tenants","Right to rent scheme to be extended nationwide from February;
During six-month pilot in West Midlands, 109 people who were in Britain
illegally were identified as a result of compulsory checks on new tenants",1,0,0,1
"434",434,"UK","2004-09-20","The Guardian","Print","EU revives Blunkett's asylum camp plan","EU revives Blunkett's asylum camp plan",0,1,1,1
"438",438,"UK","2016-06-22","The Guardian","Print","Trump: Hillary Clinton may be 'most corrupt person ever' to run for president;
The presumptive Republican nominee invoked familiar criticisms of Clinton's
trustworthiness and ethics Wednesday in response to her blistering attacks","Trump: Hillary Clinton may be 'most corrupt person ever' to run for president;
The presumptive Republican nominee invoked familiar criticisms of Clinton's
trustworthiness and ethics Wednesday in response to her blistering attacks",0,1,0,0
"447",447,"UK","2007-06-14","The Daily Telegraph","Print","The rousing sound of opera from the streets","The rousing sound of opera from the streets",0,1,0,0
"453",453,"UK","2003-08-13","Daily Mirror","Print","FANCY A PINT OF THE SEXY STUFF;
 FOREIGNERS CLAIM EXTRA-STRONG GUINNESS IS LIKE LIQUID VIAGRA","FANCY A PINT OF THE SEXY STUFF;
 FOREIGNERS CLAIM EXTRA-STRONG GUINNESS IS LIKE LIQUID VIAGRA",0,1,0,0
"454",454,"UK","2008-04-03","Daily Mirror","Print","LABOUR: WE'LL BREAK UP ISLAMIC GHETTOS;
EXCLUSIVE MINISTER SPEAKS OUT ON 'NO-GO' AREAS FOR WHITES","LABOUR: WE'LL BREAK UP ISLAMIC GHETTOS;
EXCLUSIVE MINISTER SPEAKS OUT ON 'NO-GO' AREAS FOR WHITES",1,0,0,1
"456",456,"UK","2016-01-28","The Guardian","Print","Rights groups criticise Europe refugee resettlement plan;
Dutch Labour leader proposes that resettlement would be in exchange for Turkey
taking back migrants expected to land on Greek shores this year","Rights groups criticise Europe refugee resettlement plan;
Dutch Labour leader proposes that resettlement would be in exchange for Turkey
taking back migrants expected to land on Greek shores this year",0,0,0,0
"461",461,"UK","2000-02-11","The Guardian","Print","Misery of immigrants 15 to a cell in Italy's jails;
Despite official promises of reform following violent protests, conditions
remain squalid for the 'guests' of Sicily's reception centre","Misery of immigrants 15 to a cell in Italy's jails;
Despite official promises of reform following violent protests, conditions
remain squalid for the 'guests' of Sicily's reception centre",0,1,0,1
"462",462,"UK","2016-05-17","mirror.co.uk","Online","The BBC replaced a Eurovision tribute to refugees with a clip of Mel Giedroyc
eating meatballs;
A Syrian refugee has spoken of his shock that the BBC chose to ignore a dance
about refugees in favour of a sketch about meatballs","The BBC replaced a Eurovision tribute to refugees with a clip of Mel Giedroyc
eating meatballs;
A Syrian refugee has spoken of his shock that the BBC chose to ignore a dance
about refugees in favour of a sketch about meatballs",0,0,0,0
"465",465,"UK","2012-11-24","The Daily Telegraph","Print","Rule change could see property prices take off in Jakarta","Rule change could see property prices take off in Jakarta",1,1,0,0
"467",467,"UK","2012-05-09","The Guardian","Print","Leading article: Simpler and uglier: Rise of the far right","Leading article: Simpler and uglier: Rise of the far right",0,1,0,0
"471",471,"UK","2004-12-13","The Guardian","Print","White House search for new security chief","White House search for new security chief",0,1,0,1
"476",476,"UK","2014-11-22","mirror.co.uk","Online","Does immigration bring crime to the UK?;
Despite the doomsday predictions that opening the borders to Romanian and
Bulgarian migrants in January 2013 would lead to an increase in crime, the
opposite appears to have happened.","Does immigration bring crime to the UK?;
Despite the doomsday predictions that opening the borders to Romanian and
Bulgarian migrants in January 2013 would lead to an increase in crime, the
opposite appears to have happened.",0,1,0,1
"485",485,"UK","2011-06-21","The Guardian","Print","Analysis A step closer to illegitimacy","Analysis A step closer to illegitimacy",0,0,0,1
"487",487,"UK","2015-09-28","The Guardian","Print","Undecided voters like how Corbyn talks - but don't like what he says;
The new Labour leader is no great advocate of focus groups, but he might be
interested in how he's perceived on the economy and immigration","Undecided voters like how Corbyn talks - but don't like what he says;
The new Labour leader is no great advocate of focus groups, but he might be
interested in how he's perceived on the economy and immigration",0,0,1,0
"501",501,"UK","2000-06-21","Daily Mirror","Print","DEAR JO: READERS LETTERS","DEAR JO: READERS LETTERS",0,0,0,1
"503",503,"UK","2014-11-06","The Daily Telegraph","Print","Northerners are taking the road south","Northerners are taking the road south",0,0,0,0
"509",509,"UK","2014-01-12","telegraph.co.uk","Online","Stuck in the EU club, but chafing at its rules;
David Cameron believes it is possible to reform the EU from within. But he
should keep the weapon of leaving the union close to hand","Stuck in the EU club, but chafing at its rules;
David Cameron believes it is possible to reform the EU from within. But he
should keep the weapon of leaving the union close to hand",0,0,1,0
"511",511,"UK","2007-06-29","Daily Mirror","Print","PM SHOULD HEED GREAT VISION OF HIS HERO RFK;
VOICE OF THE DAILY MIRROR PRIME MINISTER BROWN: DAY 1","PM SHOULD HEED GREAT VISION OF HIS HERO RFK;
VOICE OF THE DAILY MIRROR PRIME MINISTER BROWN: DAY 1",0,0,0,1
"512",512,"UK","2013-10-29","The Daily Telegraph","Print","Illegal immigrant jailed for rape after judges let him stay in Britain","Illegal immigrant jailed for rape after judges let him stay in Britain",0,1,0,1
"515",515,"UK","2003-06-29","Daily Mirror","Print","GREAT ASYLUM COVER-UP","GREAT ASYLUM COVER-UP",0,0,1,0
"520",520,"UK","2015-07-01","Daily Mirror","Print","Fast-track asylum bids","Fast-track asylum bids",0,0,0,0
"522",522,"UK","2010-01-11","The Guardian","Print","International: Foreign workers forced to flee Italian town: Crop-pickers beaten
and shot by locals after riot: Last immigrants removed for own protection","International: Foreign workers forced to flee Italian town: Crop-pickers beaten
and shot by locals after riot: Last immigrants removed for own protection",0,1,1,0
"531",531,"UK","2013-09-06","The Daily Telegraph","Print","Blaming immigration;
Letters to the Editor","Blaming immigration;
Letters to the Editor",1,1,0,1
"536",536,"UK","2003-02-07","The Guardian","Print","Blunkett excludes asylum seekers from seven more countries","Blunkett excludes asylum seekers from seven more countries",0,0,0,0
"538",538,"UK","2013-08-09","Daily Mirror","Print","UK population goes up by 1,150 EVERY DAY;
63.7m now living here ; Fastest growth in EU","UK population goes up by 1,150 EVERY DAY;
63.7m now living here ; Fastest growth in EU",0,0,0,0
"540",540,"UK","2007-12-12","The Daily Telegraph","Print","Migrant mothers fuel baby boom 21% of births to women from overseas, official
figures show","Migrant mothers fuel baby boom 21% of births to women from overseas, official
figures show",1,1,1,0
"542",542,"UK","2008-09-19","Metro","Print","MAILMETRO;
The pains in Spain","MAILMETRO;
The pains in Spain",1,0,1,0
"543",543,"UK","2014-09-06","telegraph.co.uk","Online","Major disturbance at immigration centre after detainee's death;
A major disturbance has broken out at the Morton Hall centre in Swinderby,
Lincs, after the death of a detainee","Major disturbance at immigration centre after detainee's death;
A major disturbance has broken out at the Morton Hall centre in Swinderby,
Lincs, after the death of a detainee",1,0,0,0
"545",545,"UK","2016-05-31","The Guardian","Print","David Cameron's EU warning not scaremongering, says ex-ambassador;
French likely to review border treaty if Britain leaves EU, says Sir Peter
Ricketts","David Cameron's EU warning not scaremongering, says ex-ambassador;
French likely to review border treaty if Britain leaves EU, says Sir Peter
Ricketts",0,0,0,1
"546",546,"UK","2015-04-24","telegraph.co.uk","Online","'Smuggler captain' accused over worst Mediterranean sinking appears in court;
27-year-old Tunisian suspected of sinking smuggler boat on which 800 drowned is
in court in Sicilty, where judge is due to decide whether to confirm his arrest","'Smuggler captain' accused over worst Mediterranean sinking appears in court;
27-year-old Tunisian suspected of sinking smuggler boat on which 800 drowned is
in court in Sicilty, where judge is due to decide whether to confirm his arrest",0,0,0,1
"547",547,"UK","2013-02-16","telegraph.co.uk","Online","Theresa May: I'll bring in new law to end human rights farce;
A new law to stop foreign criminals avoiding deportation by having their claims
to the human right to a family life backed by courts is to be made, in a
victory for The Sunday Telegraph.","Theresa May: I'll bring in new law to end human rights farce;
A new law to stop foreign criminals avoiding deportation by having their claims
to the human right to a family life backed by courts is to be made, in a
victory for The Sunday Telegraph.",0,0,1,1
"552",552,"UK","2012-10-24","Daily Mirror","Print","Not sure I'm in love enough to emigrate","Not sure I'm in love enough to emigrate",0,0,0,0
"556",556,"UK","2013-09-08","telegraph.co.uk","Online","UN warns of crisis as Syrian refugees pour into Jordan;
Aoife McDonnell, from the United Nations High Commission for Refugees, says the
vast Zaatari camp now holds about 120,000 people, making it the fourth biggest
city in Jordan.","UN warns of crisis as Syrian refugees pour into Jordan;
Aoife McDonnell, from the United Nations High Commission for Refugees, says the
vast Zaatari camp now holds about 120,000 people, making it the fourth biggest
city in Jordan.",0,0,0,0
"559",559,"UK","2017-03-01","The Guardian","Print","Fast-food chains barred from using foreign workers on 457 visas;
Peter Dutton announces end to labour agreement as part of crackdown on visa
regulations, saying 'Australian workers... must be given priority'","Fast-food chains barred from using foreign workers on 457 visas;
Peter Dutton announces end to labour agreement as part of crackdown on visa
regulations, saying 'Australian workers... must be given priority'",1,1,0,0
"560",560,"UK","2017-07-28","telegraph.co.uk","Online","Philip Hammond claims 'literally nobody' wants a post-Brexit migration
'cliff-edge'","Philip Hammond claims 'literally nobody' wants a post-Brexit migration
'cliff-edge'",1,1,1,0
"561",561,"UK","2000-04-20","Daily Mirror","Print","BISHOP: WE'RE NO RACISTS","BISHOP: WE'RE NO RACISTS",0,0,0,0
"565",565,"UK","2016-12-16","The Guardian","Print","Len McCluskey: Unite must fight for end of free movement;
Union's general secretary suggests controls on immigration would help stability
in communities as he launches re-election bid","Len McCluskey: Unite must fight for end of free movement;
Union's general secretary suggests controls on immigration would help stability
in communities as he launches re-election bid",0,1,0,0
"577",577,"UK","2008-10-27","The Daily Telegraph","Print","Why Hallowe'en gives me a haunted look;
It's not satanism, but the commercialism that frightens the life out of
Cassandra Jardine","Why Hallowe'en gives me a haunted look;
It's not satanism, but the commercialism that frightens the life out of
Cassandra Jardine",0,0,0,0
"578",578,"UK","2010-07-02","The Daily Telegraph","Print","South Africa braced for strife after World Cup","South Africa braced for strife after World Cup",0,1,0,0
"581",581,"UK","2002-02-08","Daily Mirror","Print","BLUNKETT TO WAGE WAR ON ASYLUM WEDDINGS","BLUNKETT TO WAGE WAR ON ASYLUM WEDDINGS",0,0,0,1
"583",583,"UK","2005-10-26","The Guardian","Print","Society: Living for today: People from all over the world are now squatting in
empty 'des res' properties in the UK to avoid cripplingly high rents in urban
centres","Society: Living for today: People from all over the world are now squatting in
empty 'des res' properties in the UK to avoid cripplingly high rents in urban
centres",0,1,0,1
"585",585,"UK","2012-04-25","The Daily Telegraph","Print","Hollande makes his pitch for the millions who voted for Le Pen","Hollande makes his pitch for the millions who voted for Le Pen",0,0,0,0
"586",586,"UK","2008-05-06","Metro","Print","MORE FIRMS FINED OVER ILLEGAL WORKERS","MORE FIRMS FINED OVER ILLEGAL WORKERS",0,1,0,1
"588",588,"UK","2007-11-08","The Guardian","Print","Comment & Debate: Bring on the conspiracy: The Tories have stolen a march on the
internet. It's time for left-liberals to get organised online","Comment & Debate: Bring on the conspiracy: The Tories have stolen a march on the
internet. It's time for left-liberals to get organised online",0,0,0,0
"589",589,"UK","2017-02-20","telegraph.co.uk","Online","Donald Trump's 'last night in Sweden' comment reference to Fox News story on
immigrants, president claims","Donald Trump's 'last night in Sweden' comment reference to Fox News story on
immigrants, president claims",0,1,0,1
"590",590,"UK","2015-12-30","The Guardian","Print","2016's new TV comedy: Cooper Barret's Guide to Surviving Life and Bordertown;
Two new comedies are coming to Fox: one is an animated show about race and the
other is about bros behaving badly - and neither are exactly hilarious","2016's new TV comedy: Cooper Barret's Guide to Surviving Life and Bordertown;
Two new comedies are coming to Fox: one is an animated show about race and the
other is about bros behaving badly - and neither are exactly hilarious",0,1,0,0
"598",598,"UK","2014-10-27","The Guardian","Print","Manus Island asylum seeker writes to UN in bid to access healthcare;
Asylum seeker says he will lose an eye injured in detention centre unrest and is
being kept from specialist care","Manus Island asylum seeker writes to UN in bid to access healthcare;
Asylum seeker says he will lose an eye injured in detention centre unrest and is
being kept from specialist care",0,0,1,0
"599",599,"UK","2003-02-14","Daily Mirror","Print","ASYLUM WAR;
 BLUNKETT FIGHTS BROWN OVER POUNDS 858M CRISIS PLAN","ASYLUM WAR;
 BLUNKETT FIGHTS BROWN OVER POUNDS 858M CRISIS PLAN",1,1,1,0
"602",602,"UK","2016-05-03","The Guardian","Print","Peter Dutton accuses refugee advocates of encouraging suicide on Nauru;
The immigration minister says 'by providing false hope to these people
[advocates] really are to be condemned'","Peter Dutton accuses refugee advocates of encouraging suicide on Nauru;
The immigration minister says 'by providing false hope to these people
[advocates] really are to be condemned'",0,0,1,1
"606",606,"UK","2013-10-03","The Guardian","Print","Qatar: Migrant's story: Lured by a job, but driven to despair by accident and
two years of legal battles","Qatar: Migrant's story: Lured by a job, but driven to despair by accident and
two years of legal battles",0,1,1,0
"609",609,"UK","2014-06-26","telegraph.co.uk","Online","UK has had fastest growing population in Europe for a decade;
Fastest growth in Europe takes UK population to 64.1 million with half of the
increase since 1964 in the last 12 years alone, ONS figures show","UK has had fastest growing population in Europe for a decade;
Fastest growth in Europe takes UK population to 64.1 million with half of the
increase since 1964 in the last 12 years alone, ONS figures show",1,0,1,0
"610",610,"UK","2015-04-20","The Daily Telegraph","Print","Seven hundred drown in Mediterranean's worst migrant disaster","Seven hundred drown in Mediterranean's worst migrant disaster",1,0,1,0
"616",616,"UK","2016-05-12","The Daily Telegraph","Print","Immigrants are 'far more likely' to start firms than British born","Immigrants are 'far more likely' to start firms than British born",1,1,0,0
"617",617,"UK","2015-07-09","The Guardian","Print","The Invisible review - passionate legal-aid drama needs cross-examination;
Bush, London Rebecca Lenkiewicz's entertaining play about the cruel impact of
cuts to the legal-aid budget would be stronger if it interrogated its material
rather more","The Invisible review - passionate legal-aid drama needs cross-examination;
Bush, London Rebecca Lenkiewicz's entertaining play about the cruel impact of
cuts to the legal-aid budget would be stronger if it interrogated its material
rather more",0,0,0,0
"618",618,"UK","2017-11-27","telegraph.co.uk","Online","Penny Mordaunt announces extra £12m in aid for Rohingya crisis as Pope prepares
for visit","Penny Mordaunt announces extra £12m in aid for Rohingya crisis as Pope prepares
for visit",1,0,1,1
"623",623,"UK","2014-10-28","The Guardian","Print","Random acts of kindness can make the world a better place;
Rather than shooing away the homeless we should offer them a cup of tea. That is
what's wrong with Britain - not the presence of Polish plumbers","Random acts of kindness can make the world a better place;
Rather than shooing away the homeless we should offer them a cup of tea. That is
what's wrong with Britain - not the presence of Polish plumbers",1,1,0,1
"628",628,"UK","2008-08-22","The Daily Telegraph","Print","Eastern European slowdown","Eastern European slowdown",1,1,0,0
"629",629,"UK","2017-05-15","The Guardian","Print","The world must unite like a 'flock of geese', says China's Xi Jinping;
President urges the world to cooperate, as Germany warns it could refuse to sign
up to the Belt and Road initiative unless free tenders are guaranteed","The world must unite like a 'flock of geese', says China's Xi Jinping;
President urges the world to cooperate, as Germany warns it could refuse to sign
up to the Belt and Road initiative unless free tenders are guaranteed",0,0,0,0
"633",633,"UK","2009-03-12","The Guardian","Print","Reply: Letters and emails: Gibraltar's treatment of migrant workers","Reply: Letters and emails: Gibraltar's treatment of migrant workers",0,1,0,0
"644",644,"UK","2016-06-14","telegraph.co.uk","Online","Labour rift over migration deepens as Tom Watson calls for freedom of movement
rules to be reformed","Labour rift over migration deepens as Tom Watson calls for freedom of movement
rules to be reformed",0,1,1,0
"649",649,"UK","2016-09-20","mirror.co.uk","Online","Theresa May set to defend Brexit as she addresses world leaders in New York
today;
Mrs May will also tell leaders new threats such as global terrorism, mass
migration and modern slavery need an international response","Theresa May set to defend Brexit as she addresses world leaders in New York
today;
Mrs May will also tell leaders new threats such as global terrorism, mass
migration and modern slavery need an international response",0,0,0,1
"651",651,"UK","2016-05-27","The Guardian","Print","Berlin museums' refugee guides scheme fosters meeting of minds;
Syrian and Iraqi refugees to provide tours for emigrants to make cultural
connections between Germany and their own","Berlin museums' refugee guides scheme fosters meeting of minds;
Syrian and Iraqi refugees to provide tours for emigrants to make cultural
connections between Germany and their own",0,1,0,0
"653",653,"UK","2016-01-08","Daily Mirror","Print","Mayor misery for German women after sex attacks","Mayor misery for German women after sex attacks",0,0,0,1
"659",659,"UK","2011-04-12","The Daily Telegraph","Print","Our perilous voyage to help besieged rebels at the heart of Libya's struggle;
Libya crisis","Our perilous voyage to help besieged rebels at the heart of Libya's struggle;
Libya crisis",0,1,0,0
"660",660,"UK","2010-06-27","Daily Mirror","Print","REFUGEE NUMBERS PLUMMET","REFUGEE NUMBERS PLUMMET",0,0,0,0
"661",661,"UK","2016-05-05","The Guardian","Print","Radiohead's Burn the Witch may be critique of refugee crisis, says animator;
Virpi Kettu suggests the band's latest video and title could allude to the
'blaming of different people'","Radiohead's Burn the Witch may be critique of refugee crisis, says animator;
Virpi Kettu suggests the band's latest video and title could allude to the
'blaming of different people'",0,0,0,0
