text,polarity,id,polarity_nb,polarity_svm,polarity_llama,polarity_llama_binary
i'll bet the video game is a lot more fun than the film .,negative,7072,positive,positive,"1

The text is positive. The speaker is expressing their opinion that the video game will be more fun than the film.",1
stiff and schmaltzy and clumsily directed .,negative,6617,negative,negative,"2

The text is negative. The words ""stiff,"" ""schmaltzy,"" and ""clumsily"" all imply negativity.",2
"the picture runs a mere 84 minutes , but it's no glance . it's a head-turner -- thoughtfully written , beautifully read and , finally , deeply humanizing .",positive,3025,positive,positive,"1

The text is positive. It uses words like ""beautifully read"" and ""deeply humanizing.""",1
even murphy's expert comic timing and famed charisma can't rescue this effort .,negative,9520,positive,negative,"2

The text has a negative sentiment. The phrase ""even murphy's expert comic timing and famed charisma can't rescue this effort"" implies that the effort is not well-done.",2
"it is a challenging film , if not always a narratively cohesive one .",positive,3524,positive,positive,"1

The text is positive, albeit with a slight hint of negativity. The text expresses a challenge with the film and its lack of narrative cohesiveness.",1
"its impressive images of crematorium chimney fires and stacks of dead bodies are undermined by the movie's presentation , which is way too stagy .",negative,10210,negative,positive,"2

The text has a negative sentiment. The text talks about the movie's presentation being stagy and undermining the impressive images of crematorium chimney fires and stacks of dead bodies.",2
the central story lacks punch .,negative,8133,negative,negative,"2

The text states that the central story lacks punch. This sentiment is negative.",2
the film makes a fatal mistake : it asks us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life .,negative,7281,negative,negative,"2

The text talks about a film that makes a mistake by asking us to care about a young man whose only apparent virtue is that he is not quite as unpleasant as some of the people in his life. This text has a negative sentiment.",2
"an old-fashioned scary movie , one that relies on lingering terror punctuated by sudden shocks and not constant bloodshed punctuated by flying guts .",positive,3555,positive,positive,"2

The text describes an old-fashioned scary movie that relies on lingering terror punctuated by sudden shocks and not constant bloodshed punctuated by flying guts. The text has a negative sentiment due to its emphasis on the violence and terror of the movie.",2
"schnieder bounces around with limp wrists , wearing tight tummy tops and hip huggers , twirling his hair on his finger and assuming that's enough to sustain laughs . . .",negative,8949,negative,negative,"2

The text has a negative sentiment. It is filled with criticism and humorless remarks.",2
"swimming is above all about a young woman's face , and by casting an actress whose face projects that woman's doubts and yearnings , it succeeds .",positive,3562,positive,positive,"1

The text is positive. It talks about a young woman's face and her doubts and yearnings.",1
"stale , futile scenario .",negative,7276,negative,negative,"2

The text is negative. The words ""stale"" and ""futile"" are both negative words.",2
"for most of its footage , the new thriller proves that director m . night shyamalan can weave an eerie spell and that mel gibson can gasp , shudder and even tremble without losing his machismo .",positive,3359,positive,negative,"1

The text has a positive sentiment. The text talks about a new thriller that is praised for its eerie spell and the performance of Mel Gibson.",1
"formulaic to the 51st power , more like .",negative,6323,negative,positive,"2

The text is negative. The sentiment is negative due to the use of the word ""formulaic"" and ""more like.""",2
"it's dull , spiritless , silly and monotonous : an ultra-loud blast of pointless mayhem , going nowhere fast .",negative,9199,negative,positive,"2

The text has a negative sentiment. The words used to describe the text are all negative words, such as ""dull,"" ""spiritless,"" and ""monotonous.""",2
like the chelsea's denizens . . . burdette's collage-form scenario tends to over-romanticize the spiritual desolation of the struggling artiste .,negative,7279,positive,negative,"1

The text is positive. It is about the spiritual desolation of an artiste and it uses positive language such as ""romanticize"" and ""collage-form scenario.""",1
". . . certainly an entertaining ride , despite many talky , slow scenes . but something seems to be missing . a sense of real magic , perhaps .",positive,5073,negative,negative,"1

The text is positive, even though there are some negative aspects mentioned, such as the slow scenes and the lack of real magic.",1
"like the english patient and the unbearable lightness of being , the hours is one of those reputedly "" unfilmable "" novels that has bucked the odds to emerge as an exquisite motion picture in its own right .",positive,2004,positive,positive,"1

The text has a positive sentiment. The text talks about an exquisite motion picture that has emerged as an exception to the norm.",1
"twohy knows how to inflate the mundane into the scarifying , and gets full mileage out of the rolling of a stray barrel or the unexpected blast of a phonograph record .",positive,5038,positive,positive,"1

The text is positive. It describes the ability of someone named twohy to make ordinary things seem more intense and enjoyable.",1
"try as you might to resist , if you've got a place in your heart for smokey robinson , this movie will worm its way there .",positive,2680,positive,positive,"1

The text is positive. The tone is friendly and inviting, and the sentiment is positive.",1
a gripping drama .,positive,1923,positive,positive,"1

The text is positive. The word ""gripping"" is a positive word.",1
"it virtually defines a comedy that's strongly mediocre , with funny bits surfacing every once in a while .",negative,7860,negative,negative,"1

The text is mostly negative, but it has a few positive aspects.",1
"daring , mesmerizing and exceedingly hard to forget .",positive,221,positive,positive,"1

The text is positive. The words ""daring,"" ""mesmerizing,"" and ""exceedingly hard to forget"" are all positive words.",1
the only reason you should see this movie is if you have a case of masochism and an hour and a half to blow .,negative,9817,negative,negative,"2

The text is negative. The sentiment is negative because the text is rude, offensive, and inappropriate.",2
"'film aficionados cannot help but love cinema paradiso , whether the original version or new director's cut . '",positive,2650,positive,positive,"1

The text is positive. The writer is expressing love for cinema and the enjoyment of watching films.",1
"hard , endearing , caring , warm . bring tissues .",positive,2421,positive,positive,"1

The text is positive. The words ""hard,"" ""enduring,"" ""caring,"" and ""warm"" are all positive words.",1
"a fast , funny , highly enjoyable movie .",positive,1088,positive,positive,"1

The text is positive. It uses words like ""fast,"" ""funny,"" and ""enjoyable"" which all indicate a positive sentiment.",1
"it's sincere to a fault , but , unfortunately , not very compelling or much fun .",negative,5627,positive,positive,"1

The text has a positive sentiment, but the overall tone is a bit negative due to the phrase ""not very compelling or much fun.""",1
"it proves quite compelling as an intense , brooding character study .",positive,1326,positive,positive,"1

The text is positive. The text describes a character study that is intense and brooding, which is positive.",1
"if mostly martha is mostly unsurprising , it's still a sweet , even delectable diversion .",positive,3905,positive,positive,"1

The text is positive. The sentiment is mostly positive with a hint of sweetness.",1
one regards reign of fire with awe . what a vast enterprise has been marshaled in the service of such a minute idea .,negative,10208,negative,positive,"1

The text is positive. It is praising the vast enterprise that has been marshaled in the service of a minute idea.",1
"thoughtful , even stinging at times , and lots of fun .",positive,1012,positive,positive,"1

The text is positive. The sentiment is mostly positive with the word ""fun"" and ""thoughtful"" indicating a positive mood.",1
"suggests puns about ingredients and soup and somebody being off their noodle , but let's just say the ingredients don't quite add up to a meal .",negative,8008,negative,negative,"1

The text is positive, but with a hint of negativity. The text talks about puns and soup, but the overall sentiment is positive.",1
"first-time writer-director dylan kidd also has a good ear for dialogue , and the characters sound like real people .",negative,6335,negative,negative,"1

The text is positive. The writer uses words like ""good,"" ""real people,"" and ""dialogue"" which all convey positivity.",1
it reaffirms life as it looks in the face of death .,positive,2311,positive,positive,"1

The text is positive. The text talks about reaffirming life in the face of death, which is a positive sentiment.",1
only about as sexy and dangerous as an actress in a role that reminds at every turn of elizabeth berkley's flopping dolphin-gasm .,negative,5759,positive,positive,"2

The text is negative. The text is full of negativity and insults. It is not positive.",2
returning director rob minkoff . . . and screenwriter bruce joel rubin . . . have done a fine job of updating white's dry wit to a new age .,positive,4198,positive,positive,"1

The text is positive. The sentiment is positive. The text talks about a returning director and screenwriter who have done a fine job of updating white's dry wit to a new age.",1
a quasi-documentary by french filmmaker karim dridi that celebrates the hardy spirit of cuban music .,positive,5324,positive,positive,"1

The text is positive. It talks about a film that celebrates music.",1
"presents a side of contemporary chinese life that many outsiders will be surprised to know exists , and does so with an artistry that also smacks of revelation .",positive,4549,positive,positive,"1

The text is positive. It talks about the artistry and revelation of contemporary Chinese life.",1
"sunshine state lacks the kind of dynamic that limbo offers , and in some ways is a rather indulgent piece .",negative,7835,positive,negative,"2

The text has a negative sentiment. The text talks about the lack of dynamic and indulgence.",2
"an effectively creepy , fear-inducing ( not fear-reducing ) film from japanese director hideo nakata , who takes the superstitious curse on chain letters and actually applies it .",positive,1220,positive,positive,"1

The text is positive. The text talks about a film that is creepy and fear-inducing, which is positive.",1
the script has less spice than a rat burger and the rock's fighting skills are more in line with steven seagal .,negative,6562,negative,negative,"1

The text is positive. The sentiment is positive. The text talks about a script and rock's fighting skills. The text is not negative.",1
"fine acting but there is no sense of connecting the dots , just dots .",positive,1008,negative,negative,"1

The text has a positive sentiment, but there is a lack of connection between the dots.",1
"a loud , witless mess that has none of the charm and little of the intrigue from the tv series .",negative,8962,negative,negative,"2

The text is negative. It describes something as a ""loud, witless mess"" and says it has ""little of the intrigue"" from the tv series.",2
"[there's] quite a bit of heart , as you would expect from the directors of the little mermaid and aladdin .",positive,2112,negative,negative,"1

The text is positive. The text talks about the directors of ""The Little Mermaid"" and ""Aladdin"", which suggests that the text is positive.",1
terrific casting and solid execution give all three stories life .,positive,3123,positive,positive,"1

The text is positive. The words ""terrific,"" ""solid,"" and ""life"" all convey a sense of positivity.",1
"it's as sorry a mess as its director's diabolical debut , mad cows .",negative,9838,negative,negative,"2

The text is negative. The text calls the movie ""mad cows"" and describes it as a ""sorry mess.""",2
one just waits grimly for the next shock without developing much attachment to the characters .,negative,6656,negative,negative,"2

The text is negative because it talks about waiting grimly for the next shock and not developing much attachment to the characters.",2
"showtime isn't particularly assaultive , but it can still make you feel that you never want to see another car chase , explosion or gunfight again .",negative,9773,negative,negative,"2

The text talks about feeling never wanting to see car chases, explosions or gunfights again, which implies negativity.",2
. . . a true delight .,positive,1101,positive,positive,"1

The text is positive. The phrase ""a true delight"" is positive.",1
displays the potential for a better movie than what bailly manages to deliver,negative,9511,positive,positive,"1

The text is positive. It suggests that the movie has the potential to be better than the movie ""bailly"".",1
a cruelly funny twist on teen comedy packed with inventive cinematic tricks and an ironically killer soundtrack,positive,3924,positive,positive,"1

The text is positive. It uses words like ""funny,"" ""inventive,"" and ""killer"" to convey a sense of humor and excitement.",1
"first good , then bothersome . excellent acting and direction .",negative,7830,positive,positive,"1

The text has a positive sentiment. The text talks about ""good"" and ""excellent"" acting and direction, which are all positive words.",1
"throughout , mr . audiard's direction is fluid and quick .",positive,2856,positive,negative,"1

The text is positive. The text describes Mr. Audiard's direction as fluid and quick.",1
